"run","variant","line_profile","line_name","preset","submit_ops","threads_arg","engine_workers_arg","runtime_mode","dll","tps_ops_per_s","plans_per_s","ffi_v2_calls_per_s","avg_ops_per_plan","avg_ops_per_call","elapsed_sec","done_ops"
"3","persist","seal_single","cpu_parity_single","cpu_parity","1","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","4813174.24","4813174.24","4813174.24","1","1","0.208","1000000"
"1","wasm","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","19770386.73","19454.06","19454.06","1016.26","1016.26","0.051","1000000"
"2","wasm","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","19669783.67","19355.07","19355.07","1016.26","1016.26","0.051","1000000"
"3","wasm","seal_auto","cpu_batch_stress_auto_parallel","cpu_batch_stress","1024","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","18515706.87","18219.46","18219.46","1016.26","1016.26","0.054","1000000"
"1","wasm","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","22307735.21","21794.66","21794.66","1023.54","1023.54","0.045","1000000"
"2","wasm","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","22261005.84","21749","21749","1023.54","1023.54","0.045","1000000"
"3","wasm","seal_single","cpu_batch_stress_single","cpu_batch_stress","1024","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","22580958.38","22061.6","22061.6","1023.54","1023.54","0.044","1000000"
"1","wasm","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11391247.19","11391247.19","11391247.19","1","1","0.088","1000000"
"2","wasm","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11442420.03","11442420.03","11442420.03","1","1","0.087","1000000"
"3","wasm","seal_auto","cpu_parity_auto_parallel","cpu_parity","1","auto","auto","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","11609466.82","11609466.82","11609466.82","1","1","0.086","1000000"
"1","wasm","seal_single","cpu_parity_single","cpu_parity","1","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","4929121.69","4929121.69","4929121.69","1","1","0.203","1000000"
"2","wasm","seal_single","cpu_parity_single","cpu_parity","1","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","4834661.82","4834661.82","4834661.82","1","1","0.207","1000000"
"3","wasm","seal_single","cpu_parity_single","cpu_parity","1","1","16","composed_plugin_sidecar","D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll","4722904.81","4722904.81","4722904.81","1","1","0.212","1000000"
