"run","variant","timeout","pass","exit_code","wall_ms","wall_tps","engine_tps","submitted","processed","success","elapsed_us","mode_line","stage_line","stage_runtime_open_ms","stage_tx_build_ms","stage_tx_codec_ms","stage_mempool_ms","stage_tx_meta_ms","stage_batch_map_ms","stage_adapter_ms","stage_aoem_submit_ms","stage_batch_a_ms","stage_network_ms","stage_total_ms","commit_line","network_line","stdout","stderr","reason"
"1","core","False","True","0","17318.47","577.42","28328611.9","10000","10000","10000","353","mode=ffi_v2 variant=core dll=D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll rc=0(ok) submitted=10000 processed=10000 success=10000 writes=0 elapsed_us=353","ffi_v2_stage_ms: runtime_open=5.534 tx_build=0.778 tx_codec=0.419 mempool=0.959 tx_meta=0.150 batch_map=0.207 adapter=17241.556 aoem_submit=0.355 batch_a=36.543 network=0.414 total=17293.432","5.53","0.78","0.42","0.96","0.15","0.21","17241.56","0.36","36.54","0.41","17293.43","commit_out: store=in_memory committed=true height=0 total_blocks=1 block_hash=e2da0cfdcfa9e45be60f8dfa54cf7873302f47c20b972a530661fb794318708f state_root=6fb6e56351eab11f58041669da49fd734f032e51743499c09a52c0b1cc99d072 governance_chain_audit_root=14e61cd04f57f2e01469b668b526bdb1dcb362ee91f299cebc55e05deaa78968","network_pacemaker: view_sync=true new_view=true","d:\WEB3_AI\SUPERVM\artifacts\migration\tx-e2e-tps-core-sidecar-2026-03-08-full\run-1-core.stdout.log","d:\WEB3_AI\SUPERVM\artifacts\migration\tx-e2e-tps-core-sidecar-2026-03-08-full\run-1-core.stderr.log","ok"
"1","persist","False","True","0","17388.03","575.11","23529411.76","10000","10000","10000","425","mode=ffi_v2 variant=persist dll=D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll rc=0(ok) submitted=10000 processed=10000 success=10000 writes=0 elapsed_us=425","ffi_v2_stage_ms: runtime_open=7.963 tx_build=0.755 tx_codec=0.459 mempool=1.253 tx_meta=0.147 batch_map=0.121 adapter=17312.389 aoem_submit=0.427 batch_a=40.250 network=0.313 total=17369.620","7.96","0.76","0.46","1.25","0.15","0.12","17312.39","0.43","40.25","0.31","17369.62","commit_out: store=in_memory committed=true height=0 total_blocks=1 block_hash=e2da0cfdcfa9e45be60f8dfa54cf7873302f47c20b972a530661fb794318708f state_root=6fb6e56351eab11f58041669da49fd734f032e51743499c09a52c0b1cc99d072 governance_chain_audit_root=14e61cd04f57f2e01469b668b526bdb1dcb362ee91f299cebc55e05deaa78968","network_pacemaker: view_sync=true new_view=true","d:\WEB3_AI\SUPERVM\artifacts\migration\tx-e2e-tps-core-sidecar-2026-03-08-full\run-1-persist.stdout.log","d:\WEB3_AI\SUPERVM\artifacts\migration\tx-e2e-tps-core-sidecar-2026-03-08-full\run-1-persist.stderr.log","ok"
"1","wasm","False","True","0","16406.36","609.52","17361111.11","10000","10000","10000","576","mode=ffi_v2 variant=wasm dll=D:\WEB3_AI\SUPERVM\aoem\bin\aoem_ffi.dll rc=0(ok) submitted=10000 processed=10000 success=10000 writes=0 elapsed_us=576","ffi_v2_stage_ms: runtime_open=9.009 tx_build=0.756 tx_codec=0.449 mempool=0.902 tx_meta=0.150 batch_map=0.129 adapter=16334.406 aoem_submit=0.578 batch_a=30.964 network=0.194 total=16381.071","9.01","0.76","0.45","0.9","0.15","0.13","16334.41","0.58","30.96","0.19","16381.07","commit_out: store=in_memory committed=true height=0 total_blocks=1 block_hash=e2da0cfdcfa9e45be60f8dfa54cf7873302f47c20b972a530661fb794318708f state_root=6fb6e56351eab11f58041669da49fd734f032e51743499c09a52c0b1cc99d072 governance_chain_audit_root=14e61cd04f57f2e01469b668b526bdb1dcb362ee91f299cebc55e05deaa78968","network_pacemaker: view_sync=true new_view=true","d:\WEB3_AI\SUPERVM\artifacts\migration\tx-e2e-tps-core-sidecar-2026-03-08-full\run-1-wasm.stdout.log","d:\WEB3_AI\SUPERVM\artifacts\migration\tx-e2e-tps-core-sidecar-2026-03-08-full\run-1-wasm.stderr.log","ok"
