"run","host_pipeline_diag_tps_steady","aoem_kernel_tps","processed","host_elapsed_us","aoem_elapsed_us"
"1","18867924.53","22727272.73","1000","53","44"
"2","22222222.22","22727272.73","1000","45","44"
